"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","BES.EIC_MW.FOSSILFUELS.A","OBS_VALUE","BES","Bonaire, Saint Eustatius and Saba","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","27.84","27.84","27.84","36.84","36.84","36.84","36.84"
"IMF.STA:RE(2.0.1)","BLR.EIC_MW.HYDROPOWER.A","OBS_VALUE","BLR","Belarus, Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","95.364","95.364","95.364","96","96","96.2","96.5"
"IMF.STA:RE(2.0.1)","AZE.EIC_MW.WINDENERGY.A","OBS_VALUE","AZE","Azerbaijan, Republic of","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","15.7","66","66","66","66","64","66.5"
"IMF.STA:RE(2.0.1)","BTN.EG_GWH.HYDROPOWER.A","OBS_VALUE","BTN","Bhutan","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","7721.12","6958.635","8645.942","11369.725","10822.292","10771.122",""
"IMF.STA:RE(2.0.1)","BHS.EIC_MW.WINDENERGY.A","OBS_VALUE","BHS","Bahamas, The","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","0.3","0.3","0.3","0.3","0.3","0.3","0.3"
"IMF.STA:RE(2.0.1)","ARG.EIC_MW.WINDENERGY.A","OBS_VALUE","ARG","Argentina","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","227.555","751.155","1609.455","2624","3292.22","3310.22","3706.32"
"IMF.STA:RE(2.0.1)","AUS.EG_GWH.BIOENERGY.A","OBS_VALUE","AUS","Australia","EG_GWH","Electricity Generation, Gigawatt hours","BIOENERGY","Bioenergy","A","Annual","3501","3518","3496","3351","3347","3190",""
"IMF.STA:RE(2.0.1)","U019.EIC_MW.FOSSILFUELS.A","OBS_VALUE","U019","Americas","EIC_MW","Electricity Installed Capacity, Megawatt","FOSSILFUELS","Fossil fuels","A","Annual","963085.8756","973373.916","968026.719","965497.402","970080.484","962012.376","960213.415"
"IMF.STA:RE(2.0.1)","AGO.EIC_MW.SOLARENERGY.A","OBS_VALUE","AGO","Angola","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","0.424","0.437","1.366","1.374","1.441","285.46","310.46"
"IMF.STA:RE(2.0.1)","AIA.EIC_MW.SOLARENERGY.A","OBS_VALUE","AIA","Anguilla, United Kingdom-British Overseas Territory","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","2.272","1.172","1.542","1.542","1.542","1.542","1.542"
